STORE_TYPE,STORE_NAME,ADDRESS_LINE1,CITY,STATE,ZIP,longitude,latitude,NBHD_NAME
Specialty Food Store,Anastasia's Desserts,1350 S SHERIDAN BLVD,Denver,CO,,-105.052872,39.691935,Mar Lee
Specialty Food Store,Indus Imports,1225 S Federal Blvd,Denver,CO,80219,-105.025364,39.694452,Mar Lee
Specialty Food Store,Tortilleria Victoria,4365 W Florida Ave,Denver,CO,80219,-105.043893,39.690662,Mar Lee
Convenience Store,Gloria Abbarrotes Market,4845 Morrison Rd,Denver,CO,80219,-105.049119,39.699912,Westwood
Convenience Store,Kentucky Supermarket,3145 W Kentucky Ave,Denver,CO,80219,-105.027231,39.700677,Westwood
Convenience Store,Tienda de Sandoval,3937 Morrison Rd,Denver,CO,80219,-105.039412,39.706565,Westwood
Convenience Store With Gas,Conoco,3434 W ALAMEDA AVE,Denver,CO,,-105.032115,39.710646,Westwood
Convenience Store With Gas,Sam's Corner Store,883 S FEDERAL BLVD,Denver,CO,,-105.025475,39.700788,Westwood
Convenience Store With Gas,Sheridan Jiffy Stop,898 S SHERIDAN BLVD,Denver,CO,,-105.052908,39.700739,Westwood
Pharmacy,Hong Duc LLC,945 S Federal Blvd # F,Denver,CO,80219,-105.025462,39.699514,Westwood
Small Grocery Store,Abarrote Angelito Quetzal,3892 Morrison Rd,Denver,CO,,-105.038331,39.70697,Westwood
Small Grocery Store,Hau Giang Market,1095 S Federal Blvd,Denver,CO,80219,-105.025419,39.696946,Westwood
Small Grocery Store,Hong Phat Market Inc,1001 S Federal Blvd,Denver,CO,80219,-105.025326,39.698428,Westwood
Small Grocery Store,L & P Seafood,1055 S FEDERAL BLVD,Denver,CO,,-105.025418,39.697422,Westwood
Small Grocery Store,Panaderia Contreras,3570 MORRISON RD,Denver,CO,,-105.034675,39.709539,Westwood
Small Grocery Store,Store Perez,3420 W Alameda Ave,Denver,CO,80219,-105.031631,39.710898,Westwood
Closed Small Grocery Store,Panaderia Santa Cruz,3548 MORRISON RD,Denver,CO,,-105.034021,39.709989,Westwood
Closed Supermarket,88 Market,421 S Federal Blvd,Denver,CO,80219,-105.025488,39.709088,Westwood
Specialty Food Store,Carniceria La Sierra,3154 W Alameda Ave,Denver,CO,80219,-105.02772,39.710908,Westwood
Specialty Food Store,Indochina Ginseng Co,1045 S Federal Blvd,Denver,CO,80219,-105.025428,39.697586,Westwood
Specialty Food Store,Vinh Xuong Bakery,375 S FEDERAL BLVD,Denver,CO,80219,-105.025773,39.710081,Westwood
Convenience Store,Abarrotes Medina,4320 Morrison Rd,Denver,CO,,-105.04305041,39.70335218,Westwood
Convenience Store,7-Eleven,105 N KNOX CT,Denver,CO,,-105.032839,39.718401,Barnum
Convenience Store,Quick Stop Food Mart,5 N FEDERAL BLVD,Denver,CO,,-105.025477,39.716752,Barnum
Small Grocery Store,Mi Pueblo Market,125 Knox Ct,Denver,CO,80219,-105.032838,39.718741,Barnum
Convenience Store,B Cigarettes & Convenience Store,2910 W JEWELL AVE,Denver,CO,,-105.023993,39.682029,College View - South Platte
Convenience Store,Mini Market,2960 S FEDERAL BLVD,Denver,CO,,-105.024651,39.662433,College View - South Platte
Convenience Store With Gas,Barn Store,2804 S FEDERAL BLVD,Denver,CO,,-105.024819,39.665112,College View - South Platte
Convenience Store,7-Eleven,1850 S SHERIDAN BLVD,Denver,CO,,-105.05256,39.682466,Mar Lee
Pharmacy,Walgreen,1505 S FEDERAL BLVD,Denver,CO,,-105.025757,39.68907,Mar Lee
Convenience Store With Gas,Diamond Shamrock,4797 S WADSWORTH WAY,Denver,CO,,-105.087432,39.630572,Marston
Convenience Store With Gas,Littleton My Mart,4550 S KIPLING ST,Denver,CO,,-105.108905,39.633709,Marston
Discount Merchandise Market,Big Lots,8100 W Crestline Ave # B5,Denver,CO,80123,-105.087881,39.618222,Marston
Supercenter,Walmart,7700 W Quincy Ave,Littleton,CO,80123,-105.083055,39.638644,Marston
Small Grocery Store,Sprouts Farmers Market,8601 W Cross Dr # P4,Littleton,CO,80123,-105.094357,39.615828,Marston
Warehouse Club Store,Sams Club,4827 S WADSWORTH WAY,,,,-105.08818,39.629528,Marston
Convenience Store With Gas,7-Eleven,450 N. Federal Blvd.,Denver,CO,,-105.024748,39.723154,Valverde
Convenience Store With Gas,7-Eleven,2299 W. Alameda Ave.,Denver,CO,,-105.014166,39.711526,Valverde
Convenience Store With Gas,AB Petroleum,1253 W. Alameda Ave.,Denver,CO,,-105.003044,39.711529,Valverde
Convenience Store With Gas,Jas Food Mart,412 N. Federal Blvd.,Denver,CO,,-105.024931,39.722337,Valverde
Convenience Store With Gas,Phillips 66,510 N. Bryant St.,Denver,CO,,-105.018338,39.724105,Valverde
Specialty Food Store,Tortillas Caseras,110 N. Federal Blvd.,Denver,CO,,-105.024572,39.718659,Valverde
Convenience Store,Mini Mart,1502 W. Alameda Ave.,Denver,CO,,-105.008871,39.711017,Athmar Park
Closed Convenience Store,Panaderia Los Leales,506 S. Federal Blvd.,Denver,CO,,-105.02469,39.706998,Athmar Park
Convenience Store With Gas,1st Stop,1989 W. Mississippi Ave.,Denver,CO,,-105.012305,39.697091,Athmar Park
Convenience Store With Gas,7-Eleven,890 S. Federal Blvd.,Denver,CO,,-105.024676,39.700612,Athmar Park
Dollar Store,Family Dollar,1875 W Mississippi Ave,Denver,CO,80223,-105.01093,39.697265,Athmar Park
Small Grocery Store,Athmar Market,1789 W Mississippi Ave,Denver,CO,80223,-105.008982,39.697067,Athmar Park
Small Grocery Store,New Saigon Market,1076 S Federal Blvd,Denver,CO,80219,-105.024726,39.697494,Athmar Park
Supermarket,Pacific Ocean Intl Supermarket,2200 W Alameda Ave # 2b,Denver,CO,80223,-105.01385,39.710074,Athmar Park
